strategy,hardware,offload_split,offload_frac,disk_frac,mean_latency_ms,total_time_s,prefill_time_s,accuracy
h2o_128,TPU_v6e,0.7/0.3/0.0,0.3,0.0,8.03394816132963,3.8241555190667875,0.008030142435213414,46.5
h2o_128,TPU_v6e,0.5/0.5/0.0,0.5,0.0,8.033145360983383,3.8237741889023202,0.008030142435213414,46.5
h2o_128,TPU_v7,1.0/0.0/0.0,0.0,0.0,1.746099535621916,0.8311422963802332,0.0017450169598231323,46.5
h2o_128,TPU_v7,0.7/0.3/0.0,0.3,0.0,1.7458439758656017,0.8310209054959838,0.0017450169598231323,46.5
h2o_128,TPU_v7,0.5/0.5/0.0,0.5,0.0,1.745669520651282,0.830938039269182,0.0017450169598231323,46.5
h2o_128,Gaudi_3,1.0/0.0/0.0,0.0,0.0,3.478041507441492,1.6555456011681942,0.003475885133485536,46.5
h2o_128,Gaudi_3,0.7/0.3/0.0,0.3,0.0,3.5018300743903406,1.6668451704688974,0.003475885133485536,46.5
h2o_128,Gaudi_3,0.5/0.5/0.0,0.5,0.0,3.5025386467766793,1.6671817423524082,0.003475885133485536,46.5
h2o_128,Gaudi_3,0.3/0.3/0.4,0.3,0.4,4.0199795440793205,1.9129661685711628,0.003475885133485536,46.5
h2o_128,Gaudi_3,0.5/0.0/0.5,0.0,0.5,4.1262392404238835,1.9634395243348302,0.003475885133485536,46.5
h2o_128,M4_Max,1.0/0.0/0.0,0.0,0.0,24.134805244311952,11.52551323734383,0.06148074629565217,46.5
h2o_128,M4_Max,0.7/0.3/0.0,0.3,0.0,24.131272865532218,11.523835357423456,0.06148074629565217,46.5
h2o_128,M4_Max,0.5/0.5/0.0,0.5,0.0,24.12886152383287,11.522689970116266,0.06148074629565217,46.5
h2o_128,Snapdragon_X_Elite,1.0/0.0/0.0,0.0,0.0,96.8941445837818,46.14768016988766,0.12296149259130434,46.5
h2o_128,Snapdragon_X_Elite,0.7/0.3/0.0,0.3,0.0,96.87996312191612,46.14094397550146,0.12296149259130434,46.5
h2o_128,Snapdragon_X_Elite,0.5/0.5/0.0,0.5,0.0,96.87028229421138,46.136345582341704,0.12296149259130434,46.5
h2o_256,A100_80GB,1.0/0.0/0.0,0.0,0.0,6.436702750231091,3.063864193856716,0.006430387496948242,67.0
h2o_256,A100_80GB,0.7/0.3/0.0,0.3,0.0,6.496576637029647,3.0923042900860307,0.006430387496948242,67.0
h2o_256,A100_80GB,0.5/0.5/0.0,0.5,0.0,6.521877913098586,3.1043223962187767,0.006430387496948242,67.0
h2o_256,A100_80GB,0.3/0.3/0.4,0.3,0.4,7.398803550946084,3.5208620741963386,0.006430387496948242,67.0
h2o_256,A100_80GB,0.5/0.0/0.5,0.0,0.5,7.559366348542666,3.5971294030547143,0.006430387496948242,67.0
h2o_256,H100_SXM,1.0/0.0/0.0,0.0,0.0,3.842807612078263,1.8291726530487857,0.0038390373116108907,67.0
h2o_256,H100_SXM,0.7/0.3/0.0,0.3,0.0,3.877204846511745,1.8455113394046896,0.0038390373116108907,67.0
h2o_256,H100_SXM,0.5/0.5/0.0,0.5,0.0,3.885128636671068,1.849275139730368,0.0038390373116108907,67.0
h2o_256,H100_SXM,0.3/0.3/0.4,0.3,0.4,4.780321589063118,2.274491792116592,0.0038390373116108907,67.0
h2o_256,H100_SXM,0.5/0.0/0.5,0.0,0.5,4.96657844649837,2.3629637993983366,0.0038390373116108907,67.0
h2o_256,H200,1.0/0.0/0.0,0.0,0.0,2.681959479262954,1.2766100807736318,0.0026793281237284345,67.0
h2o_256,H200,0.7/0.3/0.0,0.3,0.0,2.716655474613633,1.2930906785652043,0.0026793281237284345,67.0
h2o_256,H200,0.5/0.5/0.0,0.5,0.0,2.7247760261882816,1.2969479405631623,0.0026793281237284345,67.0
h2o_256,H200,0.3/0.3/0.4,0.3,0.4,3.6201704429429875,1.7222602885216476,0.0026793281237284345,67.0
h2o_256,H200,0.5/0.0/0.5,0.0,0.5,3.806225836015584,1.810636600231131,0.0026793281237284345,67.0
h2o_256,B200,1.0/0.0/0.0,0.0,0.0,1.6091756875577727,0.765966048464179,0.0016075968742370605,67.0
h2o_256,B200,0.7/0.3/0.0,0.3,0.0,1.6441477792043437,0.7825777919963003,0.0016075968742370605,67.0
h2o_256,B200,0.5/0.5/0.0,0.5,0.0,1.6524501654662584,0.7865214254707098,0.0016075968742370605,67.0
h2o_256,B200,0.3/0.3/0.4,0.3,0.4,2.548030763080246,1.2119222093373538,0.0016075968742370605,67.0
h2o_256,B200,0.5/0.0/0.5,0.0,0.5,2.7338999752935615,1.3002100851386786,0.0016075968742370605,67.0
h2o_256,B300,1.0/0.0/0.0,0.0,0.0,1.6091756875577727,0.765966048464179,0.0016075968742370605,67.0
h2o_256,B300,0.7/0.3/0.0,0.3,0.0,1.6441477792043437,0.7825777919963003,0.0016075968742370605,67.0
h2o_256,B300,0.5/0.5/0.0,0.5,0.0,1.6524501654662584,0.7865214254707098,0.0016075968742370605,67.0
h2o_256,B300,0.3/0.3/0.4,0.3,0.4,2.548030763080246,1.2119222093373538,0.0016075968742370605,67.0
h2o_256,B300,0.5/0.0/0.5,0.0,0.5,2.7338999752935615,1.3002100851386786,0.0016075968742370605,67.0
h2o_256,L40S,1.0/0.0/0.0,0.0,0.0,15.25736948202925,7.26249290395666,0.015242399992766205,67.0
h2o_256,L40S,0.7/0.3/0.0,0.3,0.0,15.314973243728252,7.289854690763685,0.015242399992766205,67.0
h2o_256,L40S,0.5/0.5/0.0,0.5,0.0,15.338779434590776,7.301162631423384,0.015242399992766205,67.0
h2o_256,L40S,0.3/0.3/0.4,0.3,0.4,16.21417425203974,7.716975169711643,0.015242399992766205,67.0
h2o_256,L40S,0.5/0.0/0.5,0.0,0.5,16.376267870034855,7.793969638259322,0.015242399992766205,67.0
h2o_256,RTX_5090,1.0/0.0/0.0,0.0,0.0,7.191846648302894,3.423311948443258,0.007184790499383511,67.0
h2o_256,RTX_5090,0.7/0.3/0.0,0.3,0.0,7.251526187988142,3.4516597297937506,0.007184790499383511,67.0
h2o_256,RTX_5090,0.5/0.5/0.0,0.5,0.0,7.276699468690625,3.4636170381274303,0.007184790499383511,67.0
h2o_256,RTX_5090,0.3/0.3/0.4,0.3,0.4,8.153494051855054,3.880094465130534,0.007184790499383511,67.0
h2o_256,RTX_5090,0.5/0.0/0.5,0.0,0.5,8.314187904134704,3.9564240449633674,0.007184790499383511,67.0
h2o_256,MI300X,1.0/0.0/0.0,0.0,0.0,2.4289444340494684,1.1561751674931005,0.0024265613196031103,67.0
h2o_256,MI300X,0.7/0.3/0.0,0.3,0.0,2.463705546451065,1.1726866958838589,0.0024265613196031103,67.0
h2o_256,MI300X,0.5/0.5/0.0,0.5,0.0,2.471868983565163,1.1765643285130554,0.0024265613196031103,67.0
h2o_256,MI300X,0.3/0.3/0.4,0.3,0.4,3.367307310899888,1.6018975339970498,0.0024265613196031103,67.0
h2o_256,MI300X,0.5/0.0/0.5,0.0,0.5,3.5533187933924655,1.6902529881810242,0.0024265613196031103,67.0
h2o_256,MI325X,1.0/0.0/0.0,0.0,0.0,2.1455675834103634,1.0212880646189053,0.0021434624989827475,67.0
h2o_256,MI325X,0.7/0.3/0.0,0.3,0.0,2.1804016269089885,1.0378342352807521,0.0021434624989827475,67.0
h2o_256,MI325X,0.5/0.5/0.0,0.5,0.0,2.18861309582727,1.0417346830169358,0.0021434624989827475,67.0
h2o_256,MI325X,0.3/0.3/0.4,0.3,0.4,3.0841006030116165,1.4670912489295005,0.0021434624989827475,67.0
h2o_256,MI325X,0.5/0.0/0.5,0.0,0.5,3.270062905654573,1.5554233426849047,0.0021434624989827475,67.0
h2o_256,MI350X,1.0/0.0/0.0,0.0,0.0,1.6091756875577727,0.765966048464179,0.0016075968742370605,67.0
h2o_256,MI350X,0.7/0.3/0.0,0.3,0.0,1.6441477792043437,0.7825777919963003,0.0016075968742370605,67.0
h2o_256,MI350X,0.5/0.5/0.0,0.5,0.0,1.6524501654662584,0.7865214254707098,0.0016075968742370605,67.0
h2o_256,MI350X,0.3/0.3/0.4,0.3,0.4,2.548030763080246,1.2119222093373538,0.0016075968742370605,67.0
h2o_256,MI350X,0.5/0.0/0.5,0.0,0.5,2.7338999752935615,1.3002100851386786,0.0016075968742370605,67.0
h2o_256,TPU_v5e,1.0/0.0/0.0,0.0,0.0,16.076057600577162,7.652187645144579,0.01606028487042683,67.0
h2o_256,TPU_v5e,0.7/0.3/0.0,0.3,0.0,16.0719765502773,7.650249146252144,0.01606028487042683,67.0
h2o_256,TPU_v5e,0.5/0.5/0.0,0.5,0.0,16.069195337258805,7.64892807006836,0.01606028487042683,67.0
h2o_256,TPU_v6e,1.0/0.0/0.0,0.0,0.0,8.038028800288581,3.8260938225722896,0.008030142435213414,67.0
h2o_256,TPU_v6e,0.7/0.3/0.0,0.3,0.0,8.03598827513865,3.825124573126072,0.008030142435213414,67.0
h2o_256,TPU_v6e,0.5/0.5/0.0,0.5,0.0,8.034597668629402,3.82446403503418,0.008030142435213414,67.0
h2o_256,TPU_v7,1.0/0.0/0.0,0.0,0.0,1.746730732762847,0.8314421150221754,0.0017450169598231323,67.0
h2o_256,TPU_v7,0.7/0.3/0.0,0.3,0.0,1.746287309620318,0.8312314890294741,0.0017450169598231323,67.0
h2o_256,TPU_v7,0.5/0.5/0.0,0.5,0.0,1.7459851192217473,0.8310879485901531,0.0017450169598231323,67.0
h2o_256,Gaudi_3,1.0/0.0/0.0,0.0,0.0,3.4792987839086975,1.6561428074901168,0.003475885133485536,67.0
h2o_256,Gaudi_3,0.7/0.3/0.0,0.3,0.0,3.5137895725529695,1.672525932096146,0.003475885133485536,67.0
